gravity,hypothesis_index,role,realization,beta,f,eta,prior,beta_family,companion_family,local_case_index,seed,rule,mode,scenario,N_catalogues,N_parent,correct,wrong,indeterminate,both_retained,both_rejected,true_retained,raw_fitting_empty_fraction_mean,near_best_true_mean,near_best_other_mean,correct_rate,correct_wilson_lo,correct_wilson_hi,wrong_rate,wrong_wilson_lo,wrong_wilson_hi,indeterminate_rate,indeterminate_wilson_lo,indeterminate_wilson_hi,true_retained_rate,true_retained_wilson_lo,true_retained_wilson_hi,classification_count_pass,retention_count_pass,overall_count_pass,classification_confidence_pass,retention_confidence_pass,overall_confidence_pass,evaluation_family
Newton,0,test,1,1.0,0.225,,160,fitted_grid,outside_inner_prior,8,325008001,envelope,covariates_only66,sparse_floor,1000,1000,9,0,991,991,0,1000,0.0,13.061,14.458,0.009,0.004742060667477063,0.01701581616533807,0.0,2.168404344971009e-19,0.0038267584855551234,0.991,0.982984183834662,0.9952579393325229,1.0,0.996173241514445,1.0,False,True,False,False,True,False,outside_inner_prior
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,baseline,covariates_only66,uniform_white,1000,1000,17,2,981,981,0,998,0.0,13.036,14.385,0.017,0.010640689856816328,0.027055958840229925,0.002,0.000548643588120728,0.007262807863492177,0.981,0.9705155440876868,0.9878031142492091,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,baseline,covariates_only66,clustered_correlated,1000,1000,22,2,976,976,0,998,0.0,13.039,14.376,0.022,0.014572707764791058,0.03308567334739963,0.002,0.000548643588120728,0.007262807863492177,0.976,0.9645370943883885,0.9838198315333629,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,baseline,covariates_only66,sparse_floor,1000,1000,24,2,974,974,0,998,0.0,13.037,14.463,0.024,0.016180168466636995,0.03546290561161149,0.002,0.000548643588120728,0.007262807863492177,0.974,0.9621761711573101,0.9821960617983837,0.998,0.9927371921365079,0.9994513564118793,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,envelope,covariates_only66,uniform_white,1000,1000,15,0,985,985,0,1000,0.0,13.036,14.385,0.015,0.009110978804081668,0.024600976926906798,0.0,2.168404344971009e-19,0.0038267584855551234,0.985,0.9753990230730932,0.9908890211959184,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,envelope,covariates_only66,clustered_correlated,1000,1000,16,0,984,984,0,1000,0.0,13.039,14.376,0.016,0.009872242002277388,0.02583206021173997,0.0,2.168404344971009e-19,0.0038267584855551234,0.984,0.97416793978826,0.9901277579977227,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,40,fitted_grid,fitted_prior,9,325009001,envelope,covariates_only66,sparse_floor,1000,1000,15,0,985,985,0,1000,0.0,13.037,14.463,0.015,0.009110978804081668,0.024600976926906798,0.0,2.168404344971009e-19,0.0038267584855551234,0.985,0.9753990230730932,0.9908890211959184,1.0,0.996173241514445,1.0,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,80,fitted_grid,fitted_prior,10,325010001,baseline,covariates_only66,uniform_white,1000,1000,16,1,983,981,2,997,0.0,13.056,14.649,0.016,0.009872242002277388,0.02583206021173997,0.001,0.00017654637062607809,0.0056425585979579355,0.983,0.9729440411597701,0.9893593101431837,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,80,fitted_grid,fitted_prior,10,325010001,baseline,covariates_only66,clustered_correlated,1000,1000,11,1,988,986,2,997,0.0,13.056,14.604,0.011,0.006153174098086638,0.019589395700786275,0.001,0.00017654637062607809,0.0056425585979579355,0.988,0.9791427315245017,0.9931223521935965,0.997,0.9912169859464969,0.9989792161188614,False,True,False,False,True,False,fitted_family
Newton,0,test,1,1.0,0.3,,80,fitted_grid,fitted_prior,10,325010001,baseline,covariates_only66,sparse_floor,1000,1000,19,2,979,977,2,996,0.0,13.047,14.733,0.019,0.012196885750790904,0.02948445591231312,0.002,0.000548643588120728,0.007262807863492177,0.979,0.9681097049387625,0.9862242604320758,0.996,0.9897604437227377,0.9984434118595916,False,True,False,False,False,False,fitted_family
